snum,roi,isSideLeft,roiNum
155,ctx-lh-precuneus_4,1,1141
156,ctx-lh-precuneus_5,1,1142
157,ctx-lh-precuneus_6,1,1143
158,ctx-lh-precuneus_7,1,1144
159,ctx-lh-precuneus_8,1,1145
160,ctx-lh-precuneus_9,1,1146
161,ctx-lh-precuneus_10,1,1147
162,ctx-lh-cuneus_1,1,1148
163,ctx-lh-cuneus_2,1,1149
164,ctx-lh-cuneus_3,1,1150
165,ctx-lh-cuneus_4,1,1151
166,ctx-lh-pericalcarine_1,1,1152
167,ctx-lh-pericalcarine_2,1,1153
168,ctx-lh-pericalcarine_3,1,1154
169,ctx-lh-pericalcarine_4,1,1155
170,ctx-lh-lateraloccipital_1,1,1156
171,ctx-lh-lateraloccipital_2,1,1157
172,ctx-lh-lateraloccipital_3,1,1158
173,ctx-lh-lateraloccipital_4,1,1159
174,ctx-lh-lateraloccipital_5,1,1160
175,ctx-lh-lateraloccipital_6,1,1161
176,ctx-lh-lateraloccipital_7,1,1162
177,ctx-lh-lateraloccipital_8,1,1163
178,ctx-lh-lateraloccipital_9,1,1164
179,ctx-lh-lateraloccipital_10,1,1165
180,ctx-lh-lingual_1,1,1166
181,ctx-lh-lingual_2,1,1167
182,ctx-lh-lingual_3,1,1168
183,ctx-lh-lingual_4,1,1169
184,ctx-lh-lingual_5,1,1170
185,ctx-lh-lingual_6,1,1171
186,ctx-lh-lingual_7,1,1172
187,ctx-lh-fusiform_1,1,1173
188,ctx-lh-fusiform_2,1,1174
189,ctx-lh-fusiform_3,1,1175
190,ctx-lh-fusiform_4,1,1176
191,ctx-lh-fusiform_5,1,1177
192,ctx-lh-fusiform_6,1,1178
193,ctx-lh-fusiform_7,1,1179
194,ctx-lh-fusiform_8,1,1180
195,ctx-lh-parahippocampal_1,1,1181
196,ctx-lh-parahippocampal_2,1,1182
197,ctx-lh-parahippocampal_3,1,1183
198,ctx-lh-entorhinal_1,1,1184
199,ctx-lh-temporalpole_1,1,1185
200,ctx-lh-inferiortemporal_1,1,1186
201,ctx-lh-inferiortemporal_2,1,1187
202,ctx-lh-inferiortemporal_3,1,1188
203,ctx-lh-inferiortemporal_4,1,1189
204,ctx-lh-inferiortemporal_5,1,1190
205,ctx-lh-inferiortemporal_6,1,1191
206,ctx-lh-inferiortemporal_7,1,1192
207,ctx-lh-middletemporal_1,1,1193
208,ctx-lh-middletemporal_2,1,1194
209,ctx-lh-middletemporal_3,1,1195
210,ctx-lh-middletemporal_4,1,1196
211,ctx-lh-middletemporal_5,1,1197
212,ctx-lh-middletemporal_6,1,1198
213,ctx-lh-middletemporal_7,1,1199
214,ctx-lh-middletemporal_8,1,1200
215,ctx-lh-middletemporal_9,1,1201
216,ctx-lh-bankssts_1,1,1202
217,ctx-lh-bankssts_2,1,1203
218,ctx-lh-bankssts_3,1,1204
219,ctx-lh-superiortemporal_1,1,1205
220,ctx-lh-superiortemporal_2,1,1206
221,ctx-lh-superiortemporal_3,1,1207
222,ctx-lh-superiortemporal_4,1,1208
223,ctx-lh-superiortemporal_5,1,1209
224,ctx-lh-superiortemporal_6,1,1210
225,ctx-lh-superiortemporal_7,1,1211
226,ctx-lh-superiortemporal_8,1,1212
227,ctx-lh-superiortemporal_9,1,1213
228,ctx-lh-superiortemporal_10,1,1214
229,ctx-lh-superiortemporal_11,1,1215
230,ctx-lh-transversetemporal_1,1,1216
